0001:,0002:,0600:,0601:,0602:,0611:,8002:,1231:,0607:,0605:,2968:,2969:,2970:,2971:,2972:,2973:,2974:,2975:,2976:,3070:,3071:,3072:,3073:,3074:,3075:,0604:,0613:,0620:,2979:,0615:,0674:,0618:,0619:,0614:,0616:,0623:
RFD100,0,1,1,214161,1,16041901,33,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,11800,0,2,2,240,,0,0,198,474,2000
RFD100,0,1,1,214161,1,16041901,34,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,11900,0,2,1,240,,0,0,93,222,2000
RFD100,0,1,1,214161,1,16041901,35,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,12000,0,3,1,240,,0,0,115,275,3000
RFD100,0,1,1,214161,1,16041901,36,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,12100,0,3,1,240,,0,0,230,550,3000
RFD100,0,1,1,214161,1,16041901,37,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,12400,0,3,1,240,,0,0,213,510,3000
RFD100,0,1,1,214161,1,16041901,38,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,12700,0,3,1,240,,0,0,247,591,3000
RFD100,0,1,1,214161,1,16041901,39,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,12900,0,2,1,240,,0,0,148,354,2000
RFD100,0,1,1,214161,1,16041901,40,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,13000,0,2,1,240,,0,0,118,283,2000
RFD100,0,1,1,214161,1,16041901,41,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,13100,0,1,1,240,,0,0,67,160,1000
RFD100,0,1,1,214161,1,16041901,42,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,20300,0,1,1,240,,0,0,105,252,1000
RFD100,0,1,1,214161,1,16041901,43,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,20600,0,1,1,240,,0,0,55,132,1000
RFD100,0,1,1,214161,1,16041901,44,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,20900,0,3,1,240,,0,0,245,586,3000
RFD100,0,1,1,214161,1,16041901,45,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,21100,0,2,1,240,,0,0,124,297,2000
RFD100,0,1,1,214161,1,16041901,46,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,21400,0,2,1,240,,0,0,176,421,2000
RFD100,0,1,1,214161,1,16041901,47,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,21700,0,3,1,240,,0,0,436,1045,3000
RFD100,0,1,1,214161,1,16041901,48,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,21900,0,2,1,240,,0,0,89,213,2000
RFD100,0,1,1,214161,1,16041901,49,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,22000,0,2,1,240,,0,0,128,306,2000
RFD100,0,1,1,214161,1,16041901,50,0,1,20160525,102831,20160525,104211,100,12,,,,20160525,,20160527,,,,22200,0,1,1,240,,0,0,49,117,1000
